"Source:","/home/alejopm/Documents/zenite/MSWI19/pcb/mswi/mswi.sch"
"Date:","Wed 11 May 2022 10:47:42 AM -03"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","163"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Model","Mouser","Voltage"
"","","U201","MCP2551-I/SN","Interface_CAN_LIN:MCP2561-E-SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf","","",""
"","","U202","MCP2515-xSO","Interface_CAN_LIN:MCP2515-xSO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf","","",""
"","","U301","ATmega328PB-AU","mswi-rescue:ATmega328PB-AU-MCU_Microchip_ATmega","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","","https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATMEGA328PB-AU?qs=sGAEpiMZZMvqv2n3s2xjsWT%2FOfaiuxUeMU%2FeDJZBHWboTUGl9aysTg%3D%3D",""
"","","U601","LM1117-5.0","Regulator_Linear:LM1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","",""
"","","Y201","16MHz","Device:Crystal_Small","Crystal:Crystal_HC49-U_Vertical","http://www.farnell.com/datasheets/321153.pdf","","",""
"","","Y301","16MHz","Device:Crystal_Small","Crystal:Crystal_HC49-U_Vertical","http://www.farnell.com/datasheets/321153.pdf","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Model","Mouser","Voltage"
"1","1","BZ301","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","",""
"2","13","C201, C202, C205, C301, C302, C303, C304, C307, C308, C602, C603, C604, C605","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"3","4","C203, C204, C305, C306","22pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"4","11","C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C601","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"5","1","C606","10uF","mswi-rescue:CP1_Small-Device","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","","","",""
"6","1","D201","pesd1can","mswi-rescue:D_TVS_x2_AAC-Device","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://assets.nexperia.com/documents/data-sheet/PESD1CAN.pdf","","",""
"7","1","D301","LL4148","Diode:LL4148","Diode_SMD:D_MiniMELF_Handsoldering","http://www.vishay.com/docs/85557/ll4148.pdf","","",""
"8","15","D302, D303, D304, D305, D306, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410","LED_RED","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"9","1","D601","MMSZ5240BT1","Device:D_Zener_Small","Diode_SMD:D_SOD-123","~","","","10V"
"10","1","D602","400W 24VDC","Device:D_TVS","Diode_SMD:D_SMA","https://www.mouser.com/datasheet/2/445/824501241-952945.pdf","","https://br.mouser.com/ProductDetail/Wurth-Elektronik/824501241?qs=%2Fha2pyFadujZKBgF5S1ldkLPpipTn8KXCRHX4IsQDUlguH4XSGuxlw%3D%3D",""
"11","1","F601","500mA","Device:Fuse_Small","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/643/0ZCJ_Nov2016-1132002.pdf","0ZCJ0050AF2E","https://br.mouser.com/ProductDetail/Bel-Fuse/0ZCJ0050AF2E?qs=%2Fha2pyFadugaoNql5zaJPtCzxaRCuZne0%252BGltuyizoH09DOBIA3TDQ%3D%3D",""
"12","1","J301","ISP","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"13","1","J302","USART","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"14","1","J303","I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"15","1","J501","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~","","",""
"16","1","L301","Bead","Device:L_Small","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"17","21","Q301, Q401, Q402, Q403, Q404, Q405, Q406, Q407, Q408, Q409, Q410, Q411, Q412, Q413, Q414, Q415, Q416, Q417, Q418, Q419, Q420","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"18","1","Q601","si2308cds","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","~","","",""
"19","1","R201","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"20","1","R202","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
